"((?<=[jJ]ustice\\s)|(?<=[jJ]ustice\\s\\s)|(?<=[hH]on'[bB]le\\s)|(?<=[hH]on'[bB]le\\s[mM]r\\.\\s)|(?<=[hH]on'[bB]le\\s[mM]rs\\.\\s))([A-Z]\\.\\s?)+( ?[A-Z][a-z]*\\b)+((?=\\sAnd)|(?=\\sFor)|(?=\\sCriminal)|(?=[,;:!\\?\\n\\r]))"	0.99	0.29
"((?<=[jJ]ustice\\s)|(?<=[jJ]ustice\\s\\s)|(?<=[hH]on'[bB]le\\s)|(?<=[hH]on'[bB]le\\s[mM]r\\.\\s)|(?<=[hH]on'[bB]le\\s[mM]rs\\.\\s)|(?<=[hH]on[bB]le\\s)|(?<=[hH]on[bB]le\\s[mM]r\\.\\s)|(?<=[hH]on[bB]le\\s[mM]rs\\.\\s)|(?<=[hH]onorable\\s)|(?<=[hH]onorable\\s[mM]r\\.\\s)|(?<=[hH]onorable\\s[mM]rs\\.\\s)|(?<=[hH]onourable\\s)|(?<=[hH]onourable\\s[mM]r\\.\\s)|(?<=[hH]onourable\\s[mM]rs\\.\\s))((([A-Z]\\.\\s?)+( ?[A-Z][a-z\\-]*\\b)+)|(([A-IK-LN-Z]\\S+?\\b)+))((?=\\sAnd)|(?=\\sFor)|(?=\\sCriminal)|(?=[,;:!\\?\\n\\r\\t\\(\\)\\[\\]\\\\/\\&\\{\\}]))"	0.98	0.30
"((?<=[jJ]ustice\\s)|(?<=[jJ]ustice\\s\\s)|(?<=[hH]on'[bB]le\\s)|(?<=[hH]on'[bB]le\\s[mM]r\\.\\s)|(?<=[hH]on'[bB]le\\s[mM]rs\\.\\s)|(?<=[hH]on[bB]le\\s)|(?<=[hH]on[bB]le\\s[mM]r\\.\\s)|(?<=[hH]on[bB]le\\s[mM]rs\\.\\s)|(?<=[hH]onorable\\s)|(?<=[hH]onorable\\s[mM]r\\.\\s)|(?<=[hH]onorable\\s[mM]rs\\.\\s)|(?<=[hH]onourable\\s)|(?<=[hH]onourable\\s[mM]r\\.\\s)|(?<=[hH]onourable\\s[mM]rs\\.\\s))((([A-Z]\\.\\s?)+( ?[A-Z][A-Za-z\\-]*\\b)+)|((\\s[A-IK-LN-Z][a-zA-Z]+?\\b)+))((?=\\sAnd)|(?=\\sFor)|(?=\\sCriminal)|(?=[,;:!\\?\\n\\r\\t\\(\\)\\[\\]\\\\/\\&\\{\\}]))"	0.99	0.29
"(?i)for\\s+(petitioner|respondent)\\s*:\\s*mrs?\\.\\s*(?P<target>[^,:;\\t\\r\\n\\[\\]\\(\\)\\{\\}\\?!/\\\\]+?)\\s*([,:;\\t\\r\\n\\[\\]\\(\\)\\{\\}\\?!/\\\\]|for|and)"	0.96	0.02
"(?i)\\s((mr?s?\\.?)|(sh?(ri)?\\.?)|(smt\\.?))\\s*(?P<target>[^,:;\\t\\r\\n\\[\\]\\(\\)\\{\\}\\?!/\\\\<>]*[A-Za-z]),[^\\n]*?for\\s+the\\s+(petitioners?|respondents?|appellants?|prosecution|defence|defendents?|applicants?)\\.*\\s"	0.86	0.04
"(?i)(page\\snos?\\.?\\s+\\d+\\s+of\\s+\\d+,?\\s+)?((civil|criminal|crl\\.?|special|cases?|crimes?|regular|first|second|third|misc(\\.?|ellaneous)?|reviews?|letters?|patents?|sessions?|trial|writ(\\.|ten)?|revisions?|compan(y|ies)|original|decrees?|governments?|titles?|incomes?|tax(es?)|motors?|accidents?)\\s)*(appeals?|petitions?|suits?|complaints?|applications?|executions?|summar(y|ies)|references?|claims?|W\\.?P\\.\\(?C?\\)?|C\\.?C\\.|C\\.?A\\.?|H\\.?C\\.?P\\.?|A\\.?I\\.?R\\.?|F\\.?A\\.?O\\.?|B\\.?A\\.?|O\\.?S\\.?|C\\.?D\\.?|M\\.?P\\.?|C\\.?W\\.?|Cr\\.?A\\.?)\\s*nos?\\.?(\\s*:)?((,?\\s*(and|&)?\\s*(D-)?\\d+(-\\d+)?(-DB)?(/\\d+)?)(\\s+of\\s*\\d+)?)+(,\\s+page\\snos?\\.?\\s+\\d+\\s+of\\s+\\d+)?"	0.64	0.30
"(?i)(page\\snos?\\.?\\s+\\d+([/:\\-]\\d+)?\\s+of\\s+\\d+,?\\s*)?(\\b\\(?(civil|criminal|cri?\\.|crl?\\.?|special|spl\\.?|sc\\.?|jails?|leave|circulars?|orders?|judicials?|cases?|crimes?|regular|general|assembl(y|ies)|first|second|third|1st|2nd|3rd|\\d+th|misc(\\.?|ellaneous)?|reviews?|letters?|patents?|sessions?|trial|writ(\\.|ten)?|revisions?|compan(y|ies)|original|decrees?|governments?|titles?|incomes?|tax(es?)|motors?|accidents?|appeals?|app\\.|petitions?|suits?|complaints?|applications?|executions?|summar(y|ies)|references?|claims?|W\\.?P\\.\\(?C?\\)?|C\\.?C\\.|C\\.?A\\.?|C\\.?R\\.?A\\.?|H\\.?C\\.?P\\.?|A\\.?I\\.?R\\.?|F\\.?A\\.?O\\.?|B\\.?A\\.?|O\\.?S\\.?|O\\.?S\\.?A\\.?|E\\.?P\\.?|C\\.?D\\.?|M\\.?P\\.?|M\\.?A\\.?|S\\.?B\\.?|C\\.?W\\.?|Cr\\.?A\\.?|O\\.?P\\.?|L\\.?P\\.?A\\.?|U\\.?L\\.?P\\.?|C\\.?W\\.?J\\.?C\\.?|M\\.?A\\.?C\\.?P\\.?|D\\.?B\\.?|F\\.?C\\.?O\\.?P\\.?|R\\.?P\\.?|C\\.?M\\.?P\\.?|I\\.?A\\.?|S\\.?T\\.?|T\\.?S\\.?|C\\.?T\\.?S\\.?|S\\.?C\\.?R\\.?|C\\.?R\\.?A\\.?|M\\.?A\\.?C\\.?T\\.?O\\.?P\\.?|M\\.?C\\.?O\\.?P\\.?|M\\.?A\\.?T\\.?|M\\.?A\\.?C\\.?T\\.?|M\\.?A\\.?C\\.?A\\.?|B\\.?C\\.?C\\.?C\\.?|A\\.?S\\.?|G\\.?O\\.?|G\\.?A\\.?|O\\.?J\\.?C\\.?|A\\.?P\\.?E\\.?A\\.?L\\.?|P\\.?L\\.?J\\.?R\\.?|S\\.?C\\.?|S\\.?L\\.?P\\.?|I\\.?L\\.?R\\.?|S\\.?B\\.?|C\\.?As\\.?)\\)?\\-?\\s*)+(((\\s*nos?\\.?)(\\s*:)?[,;]?\\-?\\s*(and|&|to)?\\s*([A-Z]+-)?\\d+(-\\d+)?(-[A-Z]+)?(/\\d+)*(\\s*\\([^\\(\\)]*\\)|[^\\s\\d,\\.;][A-Za-z\\-]+?\\b)?)(\\s+of\\s*\\d+)?(?!=\\s+\\d+\\.))+([,;]?\\s+page\\snos?\\.?\\s+\\d+([/:\\-]\\d+)?\\s+of\\s+\\d+)?"	0.64	0.46
"(?i)(page\\snos?\\.?\\s+\\d+([/:\\-]\\d+)?\\s+of\\s+\\d+,?\\s*)?(\\b\\(?(civil|criminal|cri?\\.?|crl?\\.?|special|spl\\.?|sc\\.?|jails?|leave|circulars?|orders?|judicials?|cases?|crimes?|regular|general|assembl(y|ies)|first|second|third|1st|2nd|3rd|\\d+th|misc(\\.?|ellaneous)?|reviews?|letters?|patents?|sessions?|trial|writ(\\.|ten)?|revisions?|compan(y|ies)|original|decrees?|governments?|titles?|incomes?|tax(es?)|motors?|accidents?|appeals?|app\\.|petitions?|suits?|complaints?|applications?|executions?|summar(y|ies)|references?|claims?|A\\.?I\\.?R\\.?|W\\.?P\\.\\(?C?\\)?|C\\.?C\\.|C\\.?M\\.?\\(M\\.?\\)|C\\.?A\\.?|C\\.?R\\.?A\\.?|H\\.?C\\.?P\\.?|M\\.?J\\.?C\\.?|R\\.?S\\.?A\\.?|D\\.?D\\.?|A\\.?I\\.?R\\.?|F\\.?A\\.?O\\.?|B\\.?A\\.?|O\\.?S\\.?|O\\.?S\\.?A\\.?|E\\.?P\\.?|C\\.?D\\.?|M\\.?P\\.?|M\\.?A\\.?|S\\.?B\\.?|C\\.?W\\.?|Cr\\.?A\\.?|O\\.?P\\.?|L\\.?P\\.?A\\.?|U\\.?L\\.?P\\.?|C\\.?W\\.?J\\.?C\\.?|M\\.?A\\.?C\\.?P\\.?|D\\.?B\\.?|F\\.?C\\.?O\\.?P\\.?|R\\.?P\\.?|C\\.?M\\.?P\\.?|I\\.?A\\.?|S\\.?T\\.?|T\\.?S\\.?|C\\.?T\\.?S\\.?|S\\.?C\\.?R\\.?|C\\.?R\\.?A\\.?|M\\.?A\\.?C\\.?T\\.?O\\.?P\\.?|M\\.?C\\.?O\\.?P\\.?|M\\.?A\\.?T\\.?|M\\.?A\\.?C\\.?T\\.?|M\\.?A\\.?C\\.?A\\.?|B\\.?C\\.?C\\.?C\\.?|A\\.?S\\.?|G\\.?O\\.?|G\\.?A\\.?|O\\.?J\\.?C\\.?|A\\.?P\\.?E\\.?A\\.?L\\.?|P\\.?L\\.?J\\.?R\\.?|S\\.?C\\.?|S\\.?L\\.?P\\.?|I\\.?L\\.?R\\.?|S\\.?B\\.?|C\\.?As\\.?)\\)?\\-?\\s*)+(((\\s*nos?\\.?)(\\s*:)?([,;]?\\-?\\s*(and|&|to)?\\s*[A-Z]+-)?\\d+(\\-\\d+)?(-[A-Z]+)?(/\\d+)*(\\s*\\([^\\(\\)]*\\)|[^\\s\\d,\\.;][A-Za-z\\-]+?\\b)?)(\\s+of\\s*\\d+)?(?!=\\s+\\d+\\.))+([,;]?\\s+page\\snos?\\.?\\s+\\d+([/:\\-]\\d+)?\\s+of\\s+\\d+)?" [BACKUP]
"(?i)(page\\snos?\\.?\\s+\\d+([/:\\-]\\d+)?\\s+of\\s+\\d+,?\\s*)?(\\b\\(?(civil|criminal|cri?\\.?|crl?\\.?|special|spl\\.?|sc\\.?|jails?|leave|circulars?|orders?|judicials?|cases?|crimes?|regular|general|assembl(y|ies)|first|second|third|1st|2nd|3rd|\\d+th|misc(\\.?|ellaneous)?|reviews?|letters?|patents?|sessions?|trial|writ(\\.|ten)?|revisions?|compan(y|ies)|original|decrees?|governments?|titles?|incomes?|tax(es?)|motors?|accidents?|appeals?|app\\.|petitions?|suits?|complaints?|applications?|executions?|summar(y|ies)|references?|claims?|A\\.?I\\.?R\\.?|W\\.?P\\.\\(?C?\\)?|C\\.?C\\.|C\\.?M\\.?\\(M\\.?\\)|C\\.?A\\.?|C\\.?R\\.?A\\.?|H\\.?C\\.?P\\.?|M\\.?J\\.?C\\.?|R\\.?S\\.?A\\.?|D\\.?D\\.?|A\\.?I\\.?R\\.?|F\\.?A\\.?O\\.?|B\\.?A\\.?|O\\.?S\\.?|O\\.?S\\.?A\\.?|E\\.?P\\.?|C\\.?D\\.?|M\\.?P\\.?|M\\.?A\\.?|S\\.?B\\.?|C\\.?W\\.?|Cr\\.?A\\.?|O\\.?P\\.?|L\\.?P\\.?A\\.?|U\\.?L\\.?P\\.?|C\\.?W\\.?J\\.?C\\.?|M\\.?A\\.?C\\.?P\\.?|D\\.?B\\.?|F\\.?C\\.?O\\.?P\\.?|R\\.?P\\.?|C\\.?M\\.?P\\.?|I\\.?A\\.?|S\\.?T\\.?|T\\.?S\\.?|C\\.?T\\.?S\\.?|S\\.?C\\.?R\\.?|C\\.?R\\.?A\\.?|M\\.?A\\.?C\\.?T\\.?O\\.?P\\.?|M\\.?C\\.?O\\.?P\\.?|M\\.?A\\.?T\\.?|M\\.?A\\.?C\\.?T\\.?|M\\.?A\\.?C\\.?A\\.?|B\\.?C\\.?C\\.?C\\.?|A\\.?S\\.?|G\\.?O\\.?|G\\.?A\\.?|O\\.?J\\.?C\\.?|A\\.?P\\.?E\\.?A\\.?L\\.?|P\\.?L\\.?J\\.?R\\.?|S\\.?C\\.?|S\\.?L\\.?P\\.?|I\\.?L\\.?R\\.?|S\\.?B\\.?|C\\.?As\\.?)\\)?\\-?\\s*)+(((\\s*nos?\\.?)(\\s*:)?[,;]?\\-?\\s*(and|&|to)?\\s*([A-Z]+-)?\\d+(-\\d+)?(-[A-Z]+)?(/\\d+)*(\\s*\\([^\\(\\)]*\\)|[^\\s\\d,\\.;][A-Za-z\\-]+?\\b)?)(\\s+of\\s*\\d+)?(?!=\\s+\\d+\\.))+([,;]?\\s+page\\snos?\\.?\\s+\\d+([/:\\-]\\d+)?\\s+of\\s+\\d+)?"	0.64	0.46
"(?i)(page\\snos?\\.?\\s+\\d+([/:\\-]\\d+)?\\s+of\\s+\\d+,?\\s*)?(\\b\\(?((high|supreme)\\scourt(\\s*\\S+)?|civil|criminal|cri?\\.?|crl?\\.?|special|spl\\.?|sc\\.?|jails?|leave|circulars?|orders?|judicials?|cases?|murders?|crimes?|regular|general|assembl(y|ies)|first|second|third|1st|2nd|3rd|\\d+th|misc(\\.?|ellaneous)?|reviews?|letters?|patents?|sessions?|trial|writ(\\.|ten)?|revisions?|compan(y|ies)|original|decrees?|governments?|titles?|incomes?|tax(es?)|motors?|accidents?|appeals?|app\\.|petitions?|suits?|complaints?|applications?|executions?|summar(y|ies)|references?|claims?|A\\.?I\\.?R\\.?|W\\.?P\\.?|W\\.?P\\.\\(?C?\\)?|C\\.?C\\.|C\\.?M\\.?\\(M\\.?\\)|C\\.?A\\.?|C\\.?R\\.?A\\.?|H\\.?C\\.?P\\.?|M\\.?J\\.?C\\.?|R\\.?S\\.?A\\.?|D\\.?D\\.?|A\\.?I\\.?R\\.?|F\\.?A\\.?O\\.?|B\\.?A\\.?|O\\.?S\\.?|O\\.?S\\.?A\\.?|E\\.?P\\.?|C\\.?D\\.?|M\\.?P\\.?|M\\.?A\\.?|S\\.?B\\.?|C\\.?W\\.?|Cr\\.?A\\.?|O\\.?P\\.?|L\\.?P\\.?A\\.?|U\\.?L\\.?P\\.?|C\\.?W\\.?J\\.?C\\.?|M\\.?A\\.?C\\.?P\\.?|D\\.?B\\.?|F\\.?C\\.?O\\.?P\\.?|R\\.?P\\.?|C\\.?M\\.?P\\.?|I\\.?A\\.?|S\\.?T\\.?|T\\.?S\\.?|C\\.?T\\.?S\\.?|S\\.?C\\.?R\\.?|C\\.?R\\.?A\\.?|M\\.?A\\.?C\\.?T\\.?O\\.?P\\.?|M\\.?C\\.?O\\.?P\\.?|M\\.?A\\.?T\\.?|M\\.?A\\.?C\\.?T\\.?|M\\.?A\\.?C\\.?A\\.?|B\\.?C\\.?C\\.?C\\.?|A\\.?S\\.?|G\\.?O\\.?|G\\.?A\\.?|O\\.?J\\.?C\\.?|A\\.?P\\.?E\\.?A\\.?L\\.?|P\\.?L\\.?J\\.?R\\.?|S\\.?C\\.?|S\\.?L\\.?P\\.?|I\\.?L\\.?R\\.?|S\\.?B\\.?|C\\.?As\\.?)\\)?\\-?\\s*)+(((\\s*nos?\\.?)?(\\s*:)?[,;]?\\-?\\s*(and|&|to)?\\s*([A-Z]+-)?\\d+(-\\d+)?(-[A-Z]+)?(/\\d+)*(\\s*\\([^\\(\\)]*\\)|[^\\s\\d,\\.;][A-Za-z\\-]+?\\b)?)(\\s+of\\s*\\d+)?(?!=\\s+\\d+\\.))+([,;]?\\s+page\\snos?\\.?\\s+\\d+([/:\\-]\\d+)?\\s+of\\s+\\d+)?"	0.34	0.51
"(?i)(page\\snos?\\.?\\s+\\d+([/:\\-]\\d+)?\\s+of\\s+\\d+,?\\s*)?(\\b\\(?(([A-Z]\\.){2,}|civil|criminal|cri?\\.?|crl?\\.?|special|spl\\.?|sc\\.?|jails?|leave|circulars?|orders?|judicials?|cases?|murders?|crimes?|regular|general|assembl(y|ies)|first|second|third|1st|2nd|3rd|\\d+th|misc(\\.?|ellaneous)?|reviews?|letters?|patents?|sessions?|trial|writ(\\.|ten)?|revisions?|compan(y|ies)|original|decrees?|governments?|titles?|incomes?|tax(es?)|motors?|accidents?|appeals?|app\\.|petitions?|suits?|complaints?|applications?|executions?|summar(y|ies)|references?|claims?|A\\.?I\\.?R\\.?|W\\.?P\\.?|W\\.?P\\.\\(?C?\\)?|C\\.?C\\.|C\\.?M\\.?\\(M\\.?\\)|C\\.?A\\.?|C\\.?R\\.?A\\.?|H\\.?C\\.?P\\.?|M\\.?J\\.?C\\.?|R\\.?S\\.?A\\.?|D\\.?D\\.?|A\\.?I\\.?R\\.?|F\\.?A\\.?O\\.?|B\\.?A\\.?|O\\.?S\\.?|O\\.?S\\.?A\\.?|E\\.?P\\.?|C\\.?D\\.?|M\\.?P\\.?|M\\.?A\\.?|S\\.?B\\.?|C\\.?W\\.?|Cr\\.?A\\.?|O\\.?P\\.?|L\\.?P\\.?A\\.?|U\\.?L\\.?P\\.?|C\\.?W\\.?J\\.?C\\.?|M\\.?A\\.?C\\.?P\\.?|D\\.?B\\.?|F\\.?C\\.?O\\.?P\\.?|R\\.?P\\.?|C\\.?M\\.?P\\.?|I\\.?A\\.?|S\\.?T\\.?|T\\.?S\\.?|C\\.?T\\.?S\\.?|S\\.?C\\.?R\\.?|C\\.?R\\.?A\\.?|M\\.?A\\.?C\\.?T\\.?O\\.?P\\.?|M\\.?C\\.?O\\.?P\\.?|M\\.?A\\.?T\\.?|M\\.?A\\.?C\\.?T\\.?|M\\.?A\\.?C\\.?A\\.?|B\\.?C\\.?C\\.?C\\.?|A\\.?S\\.?|G\\.?O\\.?|G\\.?A\\.?|O\\.?J\\.?C\\.?|A\\.?P\\.?E\\.?A\\.?L\\.?|P\\.?L\\.?J\\.?R\\.?|S\\.?C\\.?|S\\.?L\\.?P\\.?|I\\.?L\\.?R\\.?|S\\.?B\\.?|C\\.?As\\.?)\\)?\\-?\\s*)+(((\\s*nos?\\.?)(\\s*:)?[,;]?\\-?\\s*(and|&|to)?\\s*([A-Z]+-)?\\d+(-\\d+)?(-[A-Z]+)?(/\\d+)*(\\s*\\([^\\(\\)]*\\)|[^\\s\\d,\\.;][A-Za-z\\-]+?\\b)?)(\\s+of\\s*\\d+)?(?!=\\s+\\d+\\.))+([,;]?\\s+page\\snos?\\.?\\s+\\d+([/:\\-]\\d+)?\\s+of\\s+\\d+)?"	0.65	0.50
"(?i)(page\\snos?\\.?\\s+\\d+([/:\\-]\\d+)?\\s+of\\s+\\d+,?\\s*)?(\\b\\(?((i\\.[^e]\\.([A-Z]\\.)*|e\\.[^g]\\.([A-Z]\\.)*|([A-DF-HJ-Z]\\.){2,})|civil|criminal|cri?\\.?|crl?\\.?|special|spl\\.?|sc\\.?|jails?|leave|circulars?|orders?|judicials?|cases?|murders?|crimes?|regular|general|assembl(y|ies)|first|second|third|1st|2nd|3rd|\\d+th|misc(\\.?|ellaneous)?|reviews?|letters?|patents?|sessions?|trial|writ(\\.|ten)?|revisions?|compan(y|ies)|original|decrees?|governments?|titles?|incomes?|tax(es?)|motors?|accidents?|appeals?|app\\.|petitions?|suits?|complaints?|applications?|executions?|summar(y|ies)|references?|claims?|A\\.?I\\.?R\\.?|W\\.?P\\.?|W\\.?P\\.\\(?C?\\)?|C\\.?C\\.|C\\.?M\\.?\\(M\\.?\\)|C\\.?A\\.?|C\\.?R\\.?A\\.?|H\\.?C\\.?P\\.?|M\\.?J\\.?C\\.?|R\\.?S\\.?A\\.?|D\\.?D\\.?|A\\.?I\\.?R\\.?|F\\.?A\\.?O\\.?|B\\.?A\\.?|O\\.?S\\.?|O\\.?S\\.?A\\.?|E\\.?P\\.?|C\\.?D\\.?|M\\.?P\\.?|M\\.?A\\.?|S\\.?B\\.?|C\\.?W\\.?|Cr\\.?A\\.?|O\\.?P\\.?|L\\.?P\\.?A\\.?|U\\.?L\\.?P\\.?|C\\.?W\\.?J\\.?C\\.?|M\\.?A\\.?C\\.?P\\.?|D\\.?B\\.?|F\\.?C\\.?O\\.?P\\.?|R\\.?P\\.?|C\\.?M\\.?P\\.?|I\\.?A\\.?|S\\.?T\\.?|T\\.?S\\.?|C\\.?T\\.?S\\.?|S\\.?C\\.?R\\.?|C\\.?R\\.?A\\.?|M\\.?A\\.?C\\.?T\\.?O\\.?P\\.?|M\\.?C\\.?O\\.?P\\.?|M\\.?A\\.?T\\.?|M\\.?A\\.?C\\.?T\\.?|M\\.?A\\.?C\\.?A\\.?|B\\.?C\\.?C\\.?C\\.?|A\\.S\\.?|G\\.?O\\.?|G\\.?A\\.?|O\\.?J\\.?C\\.?|A\\.?P\\.?E\\.?A\\.?L\\.?|P\\.?L\\.?J\\.?R\\.?|S\\.?C\\.?|S\\.?L\\.?P\\.?|I\\.?L\\.?R\\.?|S\\.?B\\.?|C\\.?As\\.?)\\)?\\-?\\s*)+(((\\s*nos?\\.?)(\\s*:)?[,;]?\\-?\\s*(and|&|to)?\\s*([A-Z]+-)?\\d+(-\\d+)?(-[A-Z]+)?(/\\d+)*(\\s*\\([^\\(\\)]*\\)|[^\\s\\d,\\.;][A-Za-z\\-]+?\\b)?)(\\s+of\\s*\\d+)?(?!=\\s+\\d+\\.))+([,;]?\\s+page\\snos?\\.?\\s+\\d+([/:\\-]\\d+)?\\s+of\\s+\\d+)?"	0.66	0.51
